code	product_name	nova_group	ingredients	hu_nova_score
code	product_name	nova_group	ingredients	hu_nova_score
00026700547300	Ventura, Soybean - Peanut Frying Oil Blend	4	PEANUT OIL, SOYBEAN OIL, TBHQ AND CITRIC ACID ADDED TO PROTECT FLAVOR, DIMETHYLPOLYSILOXANE, AN ANTI-FOAMING AGENT ADDED.	4
0002859038722	Fancy Truffles	4	PALM OIL, SUGAR, LOW FAT COCOA, WHEY POWDER, COCOA POWDER, SOY LECITHIN, VANILLA EXTRACT. FANCY TRUFFLES. INGREDIENTS: VEGETABLE FAT (PALM, PALM KERNEL), SUGAR, LOW FAT COCOA POWDER, SWEET WHEY POWDER, COCOA POWDER, EMULSIFIER: E322 (SOY); NATURAL VANILLA FLAVORING.	4
0002859067142	Italian Style Grazioso Selection	4	SUGAR, PARTLY HYDROGENATED VEGETABLE FATS (PALM, SHEA, RAPESEED, SOY, SUNFLOWER, COCONUT; IN VARYING PROPORTIONS), COCOA MASS, WHOLE MILK POWDER, COCOA BUTTER, SKIMMED MILK POWDER, FAT REDUCED COCOA POWDER, WHEY POWDER (FROM MILK), MILK FAT, EMULSIFIERS (SOY LECITHINS, POLYGLYCEROL POLYRICINOLEATE), FLAVORINGS.	4
0003006010349	Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER, COCOA BUTTER, CHOCOLATE LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003006012749	Edelvollmilch- Chocolade Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER,COCOA BUTTER, COCOA LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003006013180	Edelvollmilch-Chocolade Finest Milk Chocolate	4	SUGAR, WHOLE MILK POWDER,COCOA BUTTER, COCOA LIQUOR, EMULSIFIER: SOY LECITHIN, BOURBON VANILLA EXTRACT.	4
0003026400168	Mochi, Cashew-Date	4	ORGANIC SWEET BROWN RICE, FILTERED WATER, DATES, CASHEWS, CINNAMON, NATURAL VANILLA FLAVOR, AND SEA SALT.	3
0003160279507	Mit Aprikosen Fruchtfullung Lebkuchen Herzen	4	GLUCOSE FRUCTOSE SYRUP, WHEAT FLOUR, SUGAR, APRICOTS DRIED PASSED, COCOA BUTTER, WHEY POWDER, COCOA MASS, SKIMMED MILK POWDER, CARAMEL SUGAR SYRUP, RAISING AGENTS: DISODIUM DIPHOSPHATE, SODIUM HYDROGEN CARBONATE, POTASSIUM CARBONATE; PURE BUTTERFAT, LACTOSE, ACID: CITRIC ACID; GELLING AGENT: PECTIN; SPICES; ACIDITY REGULATOR; POTASSIUM CITRATE; EMULSIFIER; SOYA LECITHINS; SALT, NATURAL FLAVORING.	4
00038232	Stuffed Queen Sevillano Olives	4	OLIVES STUFFED WITH PIMENTO PASTE, WATER, SALT, VINEGAR (CONTAINS SULFITES), SODIUM ALGINATE, GUAR GUM.	4
00041500007007	Yellow Mustard	3	DISTILLED WHITE VINEGAR, MUSTARD SEED, WATER, SLAT, TURMERIC, NATURAL FLAVOR AND SPICES. 	4
0005216437657	Coconut Tree Brand, Pho', Pho Soup Seasoning Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216437664	Coconut Tree Brand, Pho Ga Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216437688	Coconut Tree Brand, Kho Tieu Seasoning Spice Cube	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES	3
0005216437695	Coconut Tree Brand, Spice Cube Soup Sessoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES.	3
0005216437732	Coconut Tree Brand, Spice Cube, Hoanh Thanh Soup Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR	3
0005216437763	Bo Kho Stewed Beef Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216438579	Coconut Tree Brand, Spice Cube Soup Seasoning	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, ANISTAR.	3
0005216438623	Coconut Tree Brand, Vegetarian Soup Cubes	4	SALT, SUGAR, MONOSODIUM GLUTAMATE, AND SPICES.	3
00052603965712	Oat Non-Dairy Beverage	4	FILTERED WATER, OATS*, OAT BRAN*, TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, RIBOFLAVIN (B2), VITAMIN A PALMITATE, VITAMIN D2.	4
0005404490105	Extra Virgin Olive Oil	2	EXTRA VIRGIN OLIVE OIL.	1
0006167023135	Cashews, Sesame And Pistachios Brittle Slice	4	CASHEWNUTS 45%, SESAME 10%, PISTACHIOS 5%, SUGAR, GLUCOSE SYRUP, AROMALEMON 0,5%.	4
0006423460193	Chocolart, Assorted Milk Chocolate Pralines	4	SUGAR, VEGETABLE OIL (COCONUT (TREE NUT), PALM KERNEL, PALM COCOA BUTTER, WHOLE MILK POWDER, COCOA MASS, WHEY POWDER, LOWFAT COCOA POWDER, CEREALS (CORN FLOUR, RICE FLOUR, WHEAT FLOUR, SUGAR, LOWFAT COCOA POWDER, BARLEY'S MALT EXTRACT, SAL-T), SKIM MILK POWDER, HAZELNUTS (TREE NUT), SOY LECITHIN (EMULSIFIER), ARTIFICIAL FLAVOURINGS.	4
